Fila_atuacao;UF_Loja;Analista;Data;Status;TMA;Valor
Agendamento;CE;Jermain Tolle;01/06/2023;Pendência;00:06:33;R$ 23.462,00
Contato;AM;Obadiah Kinde;01/06/2023;Aprovação;00:22:34;R$ 3.299,00
Contato;CE;Natal Domoney;01/06/2023;Reprova;00:03:28;R$ 12.541,00
Contato;MT;Osgood Castaignet;01/06/2023;Fraude;00:02:58;R$ 7.799,00
Contato;AC;Carol-jean Bortolotti;01/06/2023;Fraude;00:03:39;R$ 16.161,00
Contato;DF;Carlita Yoakley;01/06/2023;Pendência;00:20:53;R$ 3.746,00
Agendamento;SP;Christean Birrel;01/06/2023;Aprovação;00:18:14;R$ 7.064,00
Vendas;AM;Idette Thyer;01/06/2023;Aprovação;00:16:42;R$ 22.171,00
Contato;AC;Shanda Ismay;01/06/2023;Reprova;00:16:27;R$ 6.808,00
Contato;MS;Jermain Tolle;01/06/2023;Aprovação;00:26:01;R$ 2.262,00
Agendamento;MA;Serena Bale;01/06/2023;Fraude;00:20:13;R$ 8.741,00
Vendas;AL;Kenyon Baugh;01/06/2023;Aprovação;00:07:57;R$ 5.232,00
Contato;ES;Osgood Castaignet;01/06/2023;Fraude;00:09:06;R$ 543,00
Contato;DF;Rolland d'Escoffier;01/06/2023;Reprova;00:06:45;R$ 5.705,00
Agendamento;MG;Abbie Capin;01/06/2023;Aprovação;00:05:43;R$ 23.868,00
Contato;RR;Joli Trebilcock;01/06/2023;Fraude;00:15:49;R$ 20.455,00
Contato;PR;Joli Trebilcock;01/06/2023;Aprovação;00:23:07;R$ 4.172,00
Vendas;RS;Obadiah Kinde;01/06/2023;Aprovação;00:26:22;R$ 12.511,00
Vendas;RS;Idette Thyer;01/06/2023;Fraude;00:27:41;R$ 24.195,00
Vendas;MG;Seth Coley;01/06/2023;Pendência;00:24:53;R$ 23.117,00
Contato;MT;Boyce Tennant;01/06/2023;Aprovação;00:13:32;R$ 23.736,00
Agendamento;MS;Katya Craghead;01/06/2023;Reprova;00:13:43;R$ 831,00
Agendamento;PA;Stuart Sarl;01/06/2023;Aprovação;00:23:22;R$ 15.762,00
Agendamento;ES;Abbie Capin;01/06/2023;Aprovação;00:15:43;R$ 21.692,00
Contato;RR;Kenyon Baugh;01/06/2023;Reprova;00:22:06;R$ 15.120,00
Vendas;GO;Erma Larn;01/06/2023;Aprovação;00:28:51;R$ 4.892,00
Contato;PR;Lilas Brahms;01/06/2023;Aprovação;00:29:55;R$ 1.283,00
Vendas;RS;Seth Coley;01/06/2023;Aprovação;00:19:46;R$ 16.707,00
Agendamento;CE;Gavrielle O' Neligan;01/06/2023;Reprova;00:19:38;R$ 16.745,00
Agendamento;RJ;Natal Domoney;01/06/2023;Aprovação;00:09:34;R$ 15.552,00
Agendamento;MG;Stuart Sarl;01/06/2023;Aprovação;00:14:16;R$ 22.497,00
Agendamento;AP;Kenyon Baugh;01/06/2023;Fraude;00:07:29;R$ 14.950,00
Contato;RS;Gavrielle O' Neligan;01/06/2023;Aprovação;00:22:21;R$ 12.490,00
Agendamento;BA;Cathryn MacGibbon;01/06/2023;Reprova;00:09:45;R$ 6.436,00
Vendas;PI;Seth Coley;01/06/2023;Fraude;00:24:06;R$ 16.964,00
Vendas;MT;Abbie Capin;01/06/2023;Aprovação;00:26:40;R$ 10.737,00
Agendamento;MG;Kenyon Baugh;01/06/2023;Pendência;00:21:32;R$ 17.513,00
Agendamento;PA;Seth Coley;01/06/2023;Reprova;00:25:54;R$ 8.324,00
Agendamento;PE;Serena Bale;01/06/2023;Fraude;00:17:12;R$ 22.230,00
Vendas;PR;Leonardo Davion;01/06/2023;Fraude;00:05:05;R$ 22.431,00
Agendamento;PI;Tawsha Fincher;01/06/2023;Aprovação;00:26:47;R$ 10.616,00
Agendamento;AM;Carlita Yoakley;01/06/2023;Fraude;00:08:36;R$ 10.794,00
Contato;ES;Natal Domoney;01/06/2023;Fraude;00:03:21;R$ 18.315,00
Agendamento;RO;Tawsha Fincher;01/06/2023;Reprova;00:06:20;R$ 24.227,00
Agendamento;MG;Seth Coley;01/06/2023;Aprovação;00:22:16;R$ 13.488,00
Agendamento;SE;Osgood Castaignet;01/06/2023;Aprovação;00:07:51;R$ 21.166,00
Contato;PB;Joli Trebilcock;01/06/2023;Reprova;00:22:05;R$ 1.052,00
Contato;MT;Joli Trebilcock;01/06/2023;Aprovação;00:06:35;R$ 1.397,00
Agendamento;GO;Shanda Ismay;01/06/2023;Fraude;00:08:00;R$ 8.240,00
Agendamento;RN;Gavrielle O' Neligan;01/06/2023;Reprova;00:19:20;R$ 15.863,00
Vendas;AL;Osgood Castaignet;01/06/2023;Fraude;00:27:05;R$ 17.033,00
Contato;ES;Shanda Ismay;01/06/2023;Fraude;00:23:35;R$ 2.282,00
Vendas;MS;Tawsha Fincher;01/06/2023;Reprova;00:18:38;R$ 16.251,00
Agendamento;AM;Lucie Mongan;01/06/2023;Aprovação;00:01:17;R$ 17.758,00
Contato;AM;Shanda Ismay;01/06/2023;Aprovação;00:11:45;R$ 3.113,00
Contato;DF;Lilas Brahms;01/06/2023;Aprovação;00:25:58;R$ 11.730,00
Agendamento;PB;Katya Craghead;01/06/2023;Pendência;00:14:52;R$ 2.393,00
Agendamento;MT;Erma Larn;01/06/2023;Pendência;00:25:10;R$ 943,00
Vendas;TO;Natal Domoney;01/06/2023;Pendência;00:03:36;R$ 11.130,00
Vendas;MA;Serena Bale;01/06/2023;Reprova;00:08:29;R$ 13.762,00
Contato;MA;Byron Fairbard;01/06/2023;Aprovação;00:15:06;R$ 15.485,00
Contato;PB;Jermain Tolle;01/06/2023;Aprovação;00:02:16;R$ 7.482,00
Contato;MT;Jodi Moyle;01/06/2023;Pendência;00:13:15;R$ 2.300,00
Agendamento;PR;Lucie Mongan;01/06/2023;Pendência;00:13:01;R$ 4.444,00
Vendas;MA;Carol-jean Bortolotti;01/06/2023;Aprovação;00:24:17;R$ 24.582,00
Vendas;PI;Rolland d'Escoffier;01/06/2023;Fraude;00:17:24;R$ 5.749,00
Agendamento;PR;Gavrielle O' Neligan;01/06/2023;Pendência;00:07:16;R$ 18.497,00
Agendamento;PE;Sianna Maypowder;01/06/2023;Pendência;00:15:48;R$ 9.641,00
Contato;RN;Christean Birrel;01/06/2023;Aprovação;00:10:06;R$ 15.551,00
Contato;MA;Shanda Ismay;01/06/2023;Pendência;00:01:42;R$ 20.169,00
Agendamento;CE;Tawsha Fincher;01/06/2023;Reprova;00:08:19;R$ 22.122,00
Agendamento;MA;Obadiah Kinde;01/06/2023;Fraude;00:09:14;R$ 672,00
Contato;TO;Seth Coley;01/06/2023;Aprovação;00:10:59;R$ 20.489,00
Agendamento;PR;Boyce Tennant;01/06/2023;Fraude;00:21:44;R$ 6.637,00
Vendas;RJ;Tawsha Fincher;01/06/2023;Aprovação;00:26:11;R$ 20.312,00
Vendas;AL;Seth Coley;01/06/2023;Fraude;00:22:09;R$ 7.819,00
Vendas;RN;Carol-jean Bortolotti;01/06/2023;Pendência;00:15:40;R$ 1.907,00
Vendas;AC;Leonardo Davion;01/06/2023;Aprovação;00:10:16;R$ 11.369,00
Vendas;MG;Christean Birrel;01/06/2023;Fraude;00:28:49;R$ 18.870,00
Vendas;AP;Osgood Castaignet;01/06/2023;Fraude;00:04:05;R$ 22.869,00
Contato;RR;Carlita Yoakley;01/06/2023;Aprovação;00:20:49;R$ 20.511,00
